D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C 20th Century	20th Century	Death & Co	Marie Brizard White Crème de Cacao Liqueur	.75	oz
D&C 20th Century	20th Century	Death & Co	Cocchi Americano Aperitif Wine	.75	oz
D&C 20th Century	20th Century	Death & Co	Lemon	.75	oz
D&C Airmail	Airmail	Death & Co	Ron del Barrilito 3-star Rum	1	oz
D&C Airmail	Airmail	Death & Co	Lime	.5	oz
D&C Airmail	Airmail	Death & Co	Acacia Honey Syrup	.5	oz
D&C Airmail	Airmail	Death & Co	Brut Champagne	1	top
D&C Aviation	Aviation	Death & Co	Plymouth Gin	2	oz
D&C Aviation	Aviation	Death & Co	Luxardo Maraschino Liqueur	.5	oz
D&C Aviation	Aviation	Death & Co	Crème Yvette Liqueur	.5	tsp
D&C Aviation	Aviation	Death & Co	Lemon	.75	oz
D&C Aviation	Aviation	Death & Co	Simple Syrup	.25	oz
D&C Aviation	Aviation	Death & Co	Brandied Cherry	1	unit
D&C Bamboo	Bamboo	Death & Co	Dolin Blanc Vermouth	1.5	oz
D&C Bamboo	Bamboo	Death & Co	Barbadillo Principe Amontillado Sherry	1.5	oz
D&C Bamboo	Bamboo	Death & Co	Simple Syrup	.5	oz
D&C Bamboo	Bamboo	Death & Co	House Orange Bitters	1	dash
D&C Bamboo	Bamboo	Death & Co	Angostura Bitters	1	dash
D&C Bamboo	Bamboo	Death & Co	Lemon	1	twist
D&C Bee’s Knees	Bee’s Knees	Death & Co	Tanqueray No. 10 Gin	2	oz
D&C Bee’s Knees	Bee’s Knees	Death & Co	Lemon	.75	oz
D&C Bee’s Knees	Bee’s Knees	Death & Co	Acacia Honey Syrup	.75	oz
D&C Bee’s Knees	Bee’s Knees	Death & Co	Scrappy’s Lavender Bitters	3	drop
D&C Bee’s Knees	Bee’s Knees	Death & Co	Brandied Cherry	1	unit
D&C Blood And Sand	Blood And Sand	Death & Co	Springbank 10-Year Scotch Whisky	1	oz
D&C Blood And Sand	Blood And Sand	Death & Co	Cherry Heering Liqueur	.5	oz
