El Dorado 151 Rum	151 Rum
St. George Absinthe	Absinthe
Vieux Pontarlier Absinthe	Absinthe
Pernod 68 Absinthe	Absinthe
Absinthe Bitters	Absinthe Bitters
Acid Phosphate	Acid Phosphate
Agave Nectar	Agave Nectar
Agave Syrup	Agave Syrup
La Favorite Rhum Agricole Ambre	Agricole Rum
La Favorite Rhum Agricole Blanc	Agricole Rum
Neisson Rhum Agricole Blanc	Agricole Rum
Rhum JM 100-proof Agricole Blanc	Agricole Rum
Beleza Pura Cachaça	Agricole Rum
Rhum Clément V.S.O.P.	Agricole Rum
St. James Royal Ambre Rhum Agricole	Agricole Rum
St. Elizabeth Allspice Dram Liqueur	Allspice Dram
Amaretto Liqueur	Amaretto
Lazzaroni Amaretto Liqueur	Amaretto
Luxardo Amaretto Liqueur	Amaretto
Amaro Averna Liqueur	Amaro
Amaro Ciociaro Liqueur	Amaro
Amaro Lucano Liqueur	Amaro
Amaro Meletti Liqueur	Amaro
Amaro Nardini Liqueur	Amaro
Amaro Nonino Liqueur	Amaro
Amer Picon Liqueur	Amaro
Cardamaro Amaro Liqueur	Amaro
Cynar Liqueur	Amaro
Fernet-Branca Liqueur	Amaro
Luxardo Amaro Abano Liqueur	Amaro
Ramazzotti Liqueur	Amaro
Barbadillo Principe Amontillado Sherry	Amontillado Sherry
Lustau Amontillado Sherry	Amontillado Sherry
Lustau Los Arcos Amontillado Sherry	Amontillado Sherry
Ancho Chile-infused Dolin Rouge Sweet Vermouth	Ancho Chile-infused Sweet Vermouth
Ocho Añejo Tequila	Anejo Tequila
Pueblo Viejo Añejo Tequila	Anejo Tequila
Siembra Azul Añejo Tequila	Anejo Tequila
Don Julio Añejo Tequila	Anejo Tequila
Star Anise	Anise
Fuji Apple	Apple
Granny Smith Apple	Apple
Calvados Brandy	Apple Brandy
Laird’s Bonded Apple Brandy	Apple Brandy
Laird’s AppleJack Brandy	Apple Brandy
Apple	Apple Juice
Fuji Apple–infused Famous Grouse Scotch Whisky	Apple–infused Blended Scotch
Bonne Maman Apricot Preserves	Apricot Jam
Marie Brizard Apricot Liqueur	Apricot Liqueur
Rothman & Winter Orchard Apricot Liqueur	Apricot Liqueur
Apricot-infused Famous Grouse Scotch Whisky	Apricot-infused Blended Scotch Whisky
Krogstad Aquavit	Aquavit
Linie Aquavit	Aquavit
Tariquet Vs Classique Bas-Armagnac	Armagnac
Adam Elmegirab’s Boker’s Bitters	Aromatic Bitters
Angostura Bitters	Aromatic Bitters
Bitter Truth Aromatic Bitters	Aromatic Bitters
Fee Brothers Whiskey Barrel-Aged Bitters	Aromatic Bitters
Peychaud’s Bitters	Aromatic Bitters
Fee Brothers Old Fashion Bitters	Aromatic Bitters
Feldman’s Barrel-Aged Bitters	Aromatic Bitters
Asparagus	Asparagus
Aged Balsamic Vinegar	Balsamic Vinegar
Banana Syrup	Banana Syrup
Basil	Basil
van Oosten Batavia Arrack	Batavia Arrack
Becherovka Liqueur	Becherovka
Negra Modelo Beer	Beer
Red Bell Pepper	Bell Pepper
Green Bell Pepper	Bell Pepper
Bénédictine Liqueur	Benedictine
Birch-Infused Rittenhouse Bonded Rye Whiskey	Birch-Infused Rye Whiskey
Black Peppercorns	Black Peppercorns
Blackberry	Blackberry
Massenez Crème de Mûre Blackberry Liqueur	Blackberry Liqueur
Blackberry Purée	Blackberry Purée
Dolin Blanc Vermouth	Blanc Vermouth
El Tesoro Platinum Tequila	Blanco Tequila
Siembra Azul Blanco Tequila	Blanco Tequila
Tapatio 110 Blanco Tequila	Blanco Tequila
Ocho 2012 Plata Tequila	Blanco Tequila
Partida Blanco Tequila	Blanco Tequila
Siete Leguas Blanco Tequila	Blanco Tequila
Cabeza Blanco Tequila	Blanco Tequila
Cabrito Blanco Tequila	Blanco Tequila
Chinaco Verde Blanco Tequila	Blanco Tequila
Don Julio Blanco Tequila	Blanco Tequila
Gran Centenario Blanco Tequila	Blanco Tequila
L & J Blanco Tequila	Blanco Tequila
Banks 5 Island Rum	Blended Rum
Compass Box Asyla Scotch Whisky	Blended Scotch
Famous Grouse Scotch Whisky	Blended Scotch
Chivas Regal 12-Year Blended Scotch Whisky	Blended Scotch
Compass Box Oak Cross Blended Malt Scotch Whisky	Blended Scotch
Blood Orange	Blood Orange
Solerno Blood Orange Liqueur	Blood Orange Liqueur
Bloody Mary Mix	Bloody Mary Mix
Blueberry	Blueberry
Baker’s Bourbon Whiskey	Bourbon
Buffalo Trace Bourbon Whiskey	Bourbon
Eagle Rare 10-Year Bourbon Whiskey	Bourbon
Elijah Craig 12-Year Bourbon Whiskey	Bourbon
Old Grand-Dad Bonded Bourbon Whiskey	Bourbon
Russell’s Reserve 10-Year Bourbon Whiskey	Bourbon
Woodford Reserve Bourbon Whiskey	Bourbon
Booker’s Bourbon Whiskey	Bourbon
Bulleit Bourbon Whiskey	Bourbon
Maker’s Mark Bourbon Whiskey	Bourbon
Old Weller Antique 107 Bourbon Whiskey	Bourbon
Stagg Bourbon Whiskey	Bourbon
Evan Williams Single-barrel Bourbon Whiskey	Bourbon
George T. Stagg Bourbon Whiskey	Bourbon
Knob Creek Bourbon Whiskey	Bourbon
Cacao Nib–infused Cabeza Blanco Tequila	Cacao Nib–infused Blanco Tequila
Candied Ginger	Candied Ginger
Cantaloupe	Cantaloupe
Cardamom	Cardamom
Celery	Celery
Bitter Truth Celery Bitters	Celery Bitters
Chamomile Tea	Chamomile Tea
Chamomile-infused Bianco Vermouth	Chamomile-infused Dry Vermouth
Chamomile-Infused Barsol Quebranta Pisco	Chamomile-Infused Pisco
Chamomile-infused Old Overholt Rye	Chamomile-infused Rye
Brut Champagne	Champagne
Prosecco	Champagne
Brut Prosecco	Champagne
Perrier-Jouët Grand Brut Champagne	Champagne
Zardetto Prosecco	Champagne
Moët Imperial Champagne	Chapmagne
Morro Bay Chardonnay Wine	Chardonnay Wine
Brandied Cherry	Cherry
Cherry	Cherry
Bittercube Cherry Bark and Vanilla Bitters	Cherry Bark and Vanilla Bitters
Clear Creek Kirschwasser Brandy	Cherry Brandy
Massenez Kirsch Vieux Cherry Brandy	Cherry Brandy
Cherry Heering Liqueur	Cherry Liqueur
Black Cherry Purée	Cherry Purée
Brooklyn Black Chocolate Stout Beer	Chocolate Stout Beer
Cholula	Cholula
Cilantro	Cilantro
Cinnamon Stick	Cinnamon
Ground Cinnamon	Cinnamon
Cinnamon Bark Syrup	Cinnamon Bark Syrup
Cinnamon Orange Tea–Infused Sweet Vermouth	Cinnamon Orange Tea–Infused Sweet Vermouth
Clove	Clove
Club Soda	Club Soda
Coconut Green Tea–infused Famous Grouse Scotch Whisky	Coconut Green Tea–infused Blended Scotch
Ciao Bella Coconut Sorbet	Coconut Sorbet
Coconut Water	Coconut Water
Coffee	Coffee
9th Street Alphabet City Coffee Concentrate	Coffee Concentrate
Galliano Ristretto Liqueur	Coffee Liqueur
